"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\login\login.module.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\cart\cart.component.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 16, 57
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\cart\cart.component.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\checkout\checkout.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 0, 0, 31, 169
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\checkout\checkout.component.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 11, 107
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\orders-routing.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\orders\orders.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\pmp-routing.module.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\pmp.component.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\pmp.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\pmp.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\pmp.module.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\product\product-full\product-full.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 15, 63
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\product\product-full\product-full.component.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\product\product.module.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\product\products-routing.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\products\products-category\ProductsFilters.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\products\products-category\products-category.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 29, 92
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\products\products-category\products-category.component.ts", "TypeScript", 0, 0, 0, 204, 0, 0, 0, 0, 0, 45, 249
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\products\products-routing.module.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\products\products.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\register\register-routing.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 165, 0, 0, 0, 34, 199
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 7, 82
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\register\register.module.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\search\search-routing.module.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\search\search.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\search\search.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\search\search.component.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 14, 100
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\search\search.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
